# Traffic table exported on 2025-07-05 16:10:20
# NoC dimensions: 20x20
# Columns: task_id	source_pe	dest_pe	data_size	wait_ids

177	162	162	4096	175, 176
178	2	164	4096	42
179	62	164	4096	96
180	164	164	2048	178, 179
181	342	164	4096	150
182	164	164	4096	180, 181
183	3	183	4096	45
184	63	183	4096	99
185	183	183	2048	183, 184
186	343	183	4096	153
187	183	183	4096	185, 186
188	3	123	4096	45
189	63	123	4096	99
190	123	123	2048	188, 189
191	343	123	4096	153
192	123	123	4096	190, 191
193	4	142	4096	48
194	64	142	4096	102
195	142	142	2048	193, 194
196	344	142	4096	156
197	142	142	4096	195, 196
198	4	144	4096	48
199	64	144	4096	102
200	144	144	2048	198, 199
201	344	144	4096	156
202	144	144	4096	200, 201
203	5	161	4096	51
204	65	161	4096	105
205	161	161	2048	203, 204
206	345	161	4096	159
207	161	161	4096	205, 206
208	5	165	4096	51
209	65	165	4096	105
210	165	165	2048	208, 209
211	345	165	4096	159
212	165	165	4096	210, 211
213	6	182	4096	54
214	66	182	4096	108
215	182	182	2048	213, 214
216	346	182	4096	162
217	182	182	4096	215, 216
218	6	184	4096	54
219	66	184	4096	108
220	184	184	2048	218, 219
221	346	184	4096	162
222	184	184	4096	220, 221
223	163	201	4096	167
224	143	201	4096	172
225	162	201	4096	177
226	164	201	4096	182
227	163	202	4096	167
228	143	202	4096	172
229	162	202	4096	177
230	164	202	4096	182
231	163	203	4096	167
232	143	203	4096	172
233	162	203	4096	177
234	164	203	4096	182
235	163	204	4096	167
236	143	204	4096	172
237	162	204	4096	177
238	164	204	4096	182
239	163	205	4096	167
240	143	205	4096	172
241	162	205	4096	177
242	164	205	4096	182
243	163	206	4096	167
244	143	206	4096	172
245	162	206	4096	177
246	164	206	4096	182
247	183	221	4096	187
248	123	221	4096	192
249	142	221	4096	197
250	144	221	4096	202
251	183	222	4096	187
252	123	222	4096	192
253	142	222	4096	197
254	144	222	4096	202
255	183	223	4096	187
256	123	223	4096	192
257	142	223	4096	197
258	144	223	4096	202
259	183	224	4096	187
260	123	224	4096	192
261	142	224	4096	197
262	144	224	4096	202
263	183	225	4096	187
264	123	225	4096	192
265	142	225	4096	197
266	144	225	4096	202
267	183	226	4096	187
268	123	226	4096	192
269	142	226	4096	197
270	144	226	4096	202
271	161	241	4096	207
272	165	241	4096	212
273	182	241	4096	217
274	184	241	4096	222
275	161	242	4096	207
276	165	242	4096	212
277	182	242	4096	217
278	184	242	4096	222
279	161	243	4096	207
280	165	243	4096	212
281	182	243	4096	217
282	184	243	4096	222
283	161	244	4096	207
284	165	244	4096	212
285	182	244	4096	217
286	184	244	4096	222
287	161	245	4096	207
288	165	245	4096	212
289	182	245	4096	217
290	184	245	4096	222
291	161	246	4096	207
292	165	246	4096	212
293	182	246	4096	217
294	184	246	4096	222
295	201	201	8192	223, 224, 225, 226
296	202	202	8192	227, 228, 229, 230
297	203	203	8192	231, 232, 233, 234
298	204	204	8192	235, 236, 237, 238
299	205	205	8192	239, 240, 241, 242
300	206	206	8192	243, 244, 245, 246
301	221	221	8192	247, 248, 249, 250
302	222	222	8192	251, 252, 253, 254
303	223	223	8192	255, 256, 257, 258
304	224	224	8192	259, 260, 261, 262
305	225	225	8192	263, 264, 265, 266
306	226	226	8192	267, 268, 269, 270
307	241	241	8192	271, 272, 273, 274
308	242	242	8192	275, 276, 277, 278
309	243	243	8192	279, 280, 281, 282
310	244	244	8192	283, 284, 285, 286
311	245	245	8192	287, 288, 289, 290
312	246	246	8192	291, 292, 293, 294
313	221	201	8192	301
314	241	201	8192	307
315	201	201	8192	295, 313, 314
316	222	202	8192	302
317	242	202	8192	308
318	202	202	8192	296, 316, 317
319	223	203	8192	303
320	243	203	8192	309
321	203	203	8192	297, 319, 320
322	224	204	8192	304
323	244	204	8192	310
324	204	204	8192	298, 322, 323
325	225	205	8192	305
326	245	205	8192	311
327	205	205	8192	299, 325, 326
328	226	206	8192	306
329	246	206	8192	312
330	206	206	8192	300, 328, 329
331	202	20	8192	318
332	201	20	8192	315
333	202	40	8192	318
334	201	40	8192	315
335	202	60	8192	318
336	201	60	8192	315
337	202	80	8192	318
338	201	80	8192	315
339	202	100	8192	318
340	201	100	8192	315
341	202	120	8192	318
342	201	120	8192	315
343	202	140	8192	318
344	201	140	8192	315
345	202	160	8192	318
346	201	160	8192	315
347	202	180	8192	318
348	201	180	8192	315
349	202	200	8192	318
350	201	200	8192	315
351	202	220	8192	318
352	201	220	8192	315
353	202	240	8192	318
354	201	240	8192	315
355	202	260	8192	318
356	201	260	8192	315
